"","x8dccsscr","x8nrsscr","x8flanker"
"569",NA,NA,NA
"570",NA,NA,NA
"571",NA,NA,NA
"572",NA,NA,NA
"573",8.424,97,8.4672
"574",NA,NA,NA
"575",8.29119999999999,87,9.8479
"576",8.0629,79,7.9322
"577",8.2001,105,8.203
"578",7.3616,94,6.8772
"579",NA,NA,NA
"580",NA,NA,NA
"581",8.0697,93,9.875
"582",NA,NA,NA
"583",NA,NA,NA
"584",NA,NA,NA
"585",NA,NA,NA
"586",6.662,87,8.1855
"587",NA,NA,NA
"588",8.0797,89,8.8458
"589",8.6773,87,8.5456
"590",NA,NA,NA
"591",8.0741,104,7.6396
"592",NA,NA,NA
"593",8.3815,94,8.5992
"594",7.5709,117,7.6733
"595",7.5435,87,8.091
"596",7.6697,74,8.3598
"597",7.3555,77,8.5623
"598",NA,NA,NA
"599",7.7247,112,7.2077
"600",7.6547,71,7.7025
"601",6.1386,95,6.1666
"602",NA,NA,NA
"603",8.0797,90,7.9269
"604",7.699,116,8.3941
"605",NA,NA,NA
"606",7.1203,94,6.791
"607",7.497,103,8.0352
"608",NA,NA,NA
"609",NA,NA,NA
"610",NA,NA,NA
"611",7.5587,104,5.4166
"612",5.4209,90,8.0713
"613",8.2984,96,8.5891
"614",NA,NA,NA
"615",6.8928,97,7.1089
"616",8.6504,90,7.9269
"617",7.2672,85,8.091
"618",7.183,107,5.0805
"619",7.0098,111,8.5823
"620",6.8754,118,8.539
"621",NA,NA,NA
"622",NA,NA,NA
"623",9.3095,102,8.0474
"624",8.1045,87,8.2803
"625",8.8463,106,8.1855
"626",9.0136,100,8.5958
"627",NA,NA,NA
"628",NA,NA,NA
"629",NA,NA,NA
"630",8.3166,94,8.5029
"631",7.0813,78,8.2266
"632",NA,NA,NA
"633",NA,NA,NA
"634",NA,NA,NA
"635",NA,NA,NA
"636",8.4704,120,7.6157
"637",NA,NA,NA
"638",8.0851,134,9.1584
"639",NA,NA,NA
"640",8.0454,92,7.7395
"641",NA,NA,NA
"642",7.3896,101,8.2206
"643",7.2726,97,8.0602
"644",7.9084,114,8.3753
"645",NA,NA,NA
"646",7.2896,84,7.55
"647",7.3468,90,9.22099999999999
"648",8.5495,94,9.3863
"649",8.7627,91,9.3068
"650",NA,NA,NA
"651",6.7741,94,8.4332
"652",NA,NA,NA
"653",8.36,116,8.4672
"654",3.75,73,5.6116
"655",7.6205,102,8.3567
"656",8.1947,108,8.9554
"657",7.8835,37,8.8723
"658",NA,NA,NA
"659",6.7678,69,7.9216
"660",NA,NA,NA
"661",8.1826,100,8.3443
"662",7.3163,89,8.4737
"663",7.1448,102,8.24429999999999
"664",7.0319,114,8.26819999999999
"665",7.6158,80,6.8034
"666",7.5315,105,7.0078
"667",NA,NA,NA
"668",NA,NA,NA
"669",7.4453,89,6.925
"670",NA,NA,NA
"671",7.632,125,9.0175
"672",NA,NA,NA
"673",9.125,85,8.6846
"674",NA,NA,NA
"675",8.24429999999999,48,8.4004
"676",8.1079,97,8.9135
"677",NA,NA,NA
"678",NA,NA,NA
"679",3,95,7.171
"680",7.875,107,6.9925
"681",8.1364,106,8.14789999999999
"682",3.75,76,7.366
"683",7.3922,111,7.1954
"684",7.6597,97,8.8389
"685",NA,NA,NA
"686",NA,NA,NA
"687",8.3849,122,9.4178
"688",NA,NA,NA
"689",NA,NA,NA
"690",NA,114,NA
"691",NA,NA,NA
"692",8.29429999999999,115,8.5091
"693",NA,NA,NA
"694",NA,NA,NA
"695",NA,NA,NA
"696",6.6572,101,8.0297
"697",7.0378,79,8.3412
"698",NA,NA,NA
"699",NA,NA,NA
"700",NA,NA,NA
"701",5.8704,79,7.5709
"702",7.747,121,8.5656
"703",7.6387,99,8.3289
"704",NA,NA,NA
"705",NA,NA,NA
"706",NA,NA,NA
"707",7.9872,76,4.75
"708",NA,NA,NA
"709",NA,NA,NA
"710",5.7865,92,6.452
"711",NA,NA,NA
"712",9.60829999999999,108,9.64479999999999
"713",NA,NA,NA
"714",NA,NA,NA
"715",7.932,103,8.6161
"716",7.7099,89,7.8125
"717",7.4825,103,8.6572
"718",7.2694,76,7.0193
"719",7.8878,102,8.4035
"720",8.2206,99,8.413
"721",NA,NA,NA
"722",7.2437,94,8.2833
"723",NA,NA,NA
"724",7.2324,123,8.6815
"725",NA,NA,NA
"726",5.7451,93,7.3922
"727",7.7092,105,6.4945
"728",NA,NA,NA
"729",7.9161,105,9.4223
"730",8.214,109,8.6849
"731",6.9019,114,8.2954
"732",8.4713,92,7.2574
"733",5.2799,89,8.0297
"734",7.747,81,8.0765
"735",NA,NA,NA
"736",NA,NA,NA
"737",NA,NA,NA
"738",6.7538,102,5.572
"739",7.7496,80,7.0521
"740",8.6745,129,8.4098
"741",7.9036,92,7.6468
"742",8.2084,143,8.6884
"743",7.8579,99,8.7734
"744",8.4004,121,7.9429
"745",6.9383,69,4.125
"746",6.9623,83,8.1193
"747",8.4229,66,9.0491
"748",6.0181,78,5.6661
"749",NA,NA,NA
"750",8.3812,105,8.4931
"751",4,82,7.443
"752",7.7001,69,7.6685
"753",NA,NA,NA
"754",7.7523,112,8.0882
"755",7.3944,147,8.7094
"756",8.1623,108,8.7306
"757",8.4672,107,8.3779
"758",NA,NA,NA
"759",7.967,99,8.1164
"760",7.632,92,7.5733
"761",7.3465,95,6.018
"762",8.2359,100,8.2177
"763",9.1558,107,8.8947
"764",NA,NA,NA
"765",7.5803,129,8.2266
"766",7.3158,109,8.549
"767",NA,NA,NA
"768",NA,NA,NA
"769",8.4809,115,6.6955
"770",8.777,98,9.4451
"771",NA,NA,NA
"772",7.5689,96,7.7645
"773",6.2542,82,6.8088
"774",7.6709,95,8.4899
"775",8.207,102,8.24729999999999
"776",8.579,119,7.9833
"777",NA,NA,NA
"778",8.1932,91,9.2937
"779",7.766,102,8.27429999999999
"780",7.6685,77,5.8808
"781",7.2769,102,8.125
"782",NA,NA,NA
"783",7.69,88,8.0214
"784",8.2924,95,7.9456
"785",7.241,126,8.6093
"786",NA,NA,NA
"787",NA,NA,NA
"788",8.2565,102,9.23799999999999
"789",6.5856,109,8.9022
"790",NA,NA,NA
"791",6.8827,114,7.353
"792",NA,NA,NA
"793",7.6564,96,8.366
"794",7.4391,111,8.6263
"795",6.1263,96,8.4035
"796",8.516,98,8.3167
"797",7.3744,100,8.464
"798",8.0853,106,8.125
"799",7.1512,109,7.4722
"800",NA,NA,NA
"801",NA,NA,NA
"802",NA,NA,NA
"803",NA,NA,NA
"804",8.3722,110,7.6205
"805",7.6181,103,7.2283
"806",7.5921,73,6.9324
"807",7.637,109,8.8096
"808",6.9139,93,6.554
"809",NA,102,6.95
"810",8.1942,86,8.5291
"811",7.3165,105,6.9944
"812",8.2317,69,8.4979
"813",8.1136,79,8.1767
"814",7.1733,90,7.6564
"815",7.4053,104,7.762
"816",8.6109,92,8.2954
"817",7.6672,91,9.14189999999999
"818",NA,NA,NA
"819",9.0541,59,5.5892
"820",7.3186,100,6.985
"821",6.0341,94,7.0001
"822",NA,NA,NA
"823",8.1963,106,8.9211
"824",7.7467,71,6.2551
"825",7.2973,94,8.2295
"826",NA,NA,NA
"827",NA,NA,NA
"828",6.6666,102,7.7346
"829",9.069,84,9.0372
"830",NA,NA,NA
"831",8.8574,113,8.7627
"832",NA,NA,NA
"833",8.781,113,8.4737
"834",7.7947,110,8.7734
"835",8.289,104,8.14789999999999
"836",8.1134,89,6.7946
"837",NA,NA,NA
"838",7.8516,103,9.3374
"839",8.1119,105,9.4297
"840",NA,NA,NA
"841",NA,NA,NA
"842",7.8432,92,7.5063
"843",NA,NA,NA
"844",8.0348,95,9.3024
"845",NA,NA,NA
"846",6.1131,77,6.2266
"847",8.1394,122,7.6564
"848",7.3944,112,8.3412
"849",7.794,106,8.9173
"850",7.2783,75,7.175
"851",6.1693,92,7.9031
"852",8.5706,81,9.4497
"853",7.3202,83,7.2804
"854",8.3551,73,6.5394
"855",8.1107,99,6.2585
"856",3.875,98,8.4479
"857",7.7222,101,8.3941
"858",NA,NA,NA
"859",8.8151,102,9.3155
"860",6.0829,96,8.4996
"861",8.1607,120,9.6838
"862",7.041,89,4.5346
"863",3.875,59,8.14789999999999
"864",7.8827,128,7.9322
"865",8.0424,107,8.0741
"866",7.9778,102,7.5897
"867",6.7982,106,7.8743
"868",8.6665,122,8.713
"869",6.8,61,7.4694
"870",NA,NA,NA
"871",NA,NA,NA
"872",NA,NA,NA
"873",NA,NA,NA
"874",8.553,105,8.4447
"875",7.9227,108,8.9516
"876",6.8609,94,8.3847
"877",8.2059,111,8.8835
"878",8.6745,111,8.74479999999999
"879",NA,NA,NA
"880",NA,NA,NA
"881",NA,NA,NA
"882",7.3992,109,8.464
"883",7.9561,127,8.8723
"884",7.9265,100,8.5324
"885",6.916,98,8.6641
"886",8.1107,83,7.5182
"887",NA,NA,NA
"888",7.395,109,7.5407
"889",NA,NA,NA
"890",6.6838,59,7.8023
"891",NA,NA,NA
"892",8.68829999999999,78,9.1461
"893",7.0537,93,8.2533
"894",6.6024,116,6.4015
"895",NA,NA,NA
"896",NA,NA,NA
"897",NA,NA,NA
"898",NA,NA,NA
"899",NA,NA,NA
"900",NA,NA,NA
"901",NA,NA,NA
"902",8.5724,128,6.1301
"903",NA,NA,NA
"904",9.2702,122,8.332
"905",NA,NA,NA
"906",NA,NA,NA
"907",NA,NA,NA
"908",5.1937,63,4.875
"909",NA,NA,NA
"910",9.507,124,8.0853
"911",7.585,81,8.3045
"912",NA,NA,NA
"913",7.6492,94,8.2803
"914",7.2345,102,7.9349
"915",NA,NA,NA
"916",NA,NA,NA
"917",8.7228,92,8.8463
"918",7.6926,84,8.9325
"919",NA,NA,NA
"920",7.799,94,8.6773
"921",NA,NA,NA
"922",NA,NA,NA
"923",2.125,55,NA
"924",NA,NA,NA
"925",5.5872,78,7.755
"926",7.7148,100,7.8484
"927",6.4438,83,6.8141
"928",8.3422,98,7.8639
"929",8.9321,125,8.539
"930",7.228,62,8.5062
"931",NA,NA,NA
"932",8.686,80,7.2088
"933",8.13879999999999,109,9.5146
"934",NA,NA,NA
"935",7.0911,102,7.5338
"936",NA,53,NA
"937",7.4605,90,7.5686
"938",7.74,96,8.5062
"939",7.2428,70,8.6676
"940",NA,NA,NA
"941",7.9751,98,7.8822
"942",8.5958,110,8.2354
"943",7.3386,80,7.2952
"944",2.875,80,7.8536
"945",7.3687,109,7.5639
"946",NA,NA,NA
"947",8.0488,97,7.3443
"948",7.9386,112,8.4225
"949",9.4338,106,8.8242
"950",7.335,96,7.3465
"951",9.375,100,9.4133
"952",9.0372,96,9.3024
"953",8.2599,110,7.8718
"954",7.6046,69,7.2889
"955",6.6079,97,8.14629999999999
"956",NA,NA,NA
"957",7.1611,100,7.9005
"958",7.5898,76,8.5968
"959",7.4306,140,6.6397
"960",9.1769,99,9.5287
"961",7.3035,93,7.1934
"962",8.6773,113,8.9601
"963",7.7966,81,7.2183
"964",7.1852,78,8.4225
"965",7.9773,105,8.5029
"966",7.0943,97,7.0021
"967",7.2495,106,6.8102
"968",7.4197,87,8.6263
"969",7.5639,100,8.1278
"970",NA,NA,NA
